fold,alpha,l1_ratio,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,0.001,0.9,0.0017363672046310837,-0.0,-0.009805342839830795,0.05446443983037428,-0.010609563473080176,0.009860813524328346,-0.06827556143297203,-0.009897160784226719,0.0008159436931294157,-0.0027902927669648573,0.007415255693698247,0.01363269891328261,-0.005306922486561196,0.002367962056165463,-0.013102087286253982,0.0019193042477357945,-0.003403557005454047,0.0,0.005679750213748691,0.007441839388837886,0.022341191400493978,-0.04112746086971704,-0.011968482715699781,-0.012478371097565142,-0.004626266910772744,-0.0018275188159847645,0.0,-0.013734482899404198,-0.0,-0.0,0.017221737256651118,-0.0005567091969141181
1,0.001,0.9,0.0,-0.0018592028297550452,-0.01079618592627901,0.05097186769551145,-0.0,0.012652918516826104,-0.05315869835400406,-0.010092646806109076,0.002128016921021681,-0.0014614639431383728,0.0,0.006657894171138926,-0.004105005439862934,0.006253374550467745,-0.013287461359835735,0.0016552131573121167,-0.0026329681679677927,0.0,0.003352626428711838,0.0032878482546144566,0.01899064955483947,-0.04141864715494203,-0.004906651838989577,-0.010246302655891786,-0.0004540013288362658,-0.004158333529133073,-0.0,-0.004890214682638929,0.0007137501187090959,-0.00011883444383580285,0.01501677885320992,-0.002884795292274067
2,0.001,0.9,0.0,-0.0065369099628070195,-0.004729367177274964,0.04845378821676825,-0.0017882226898095963,0.011034526108659607,-0.051856405122404664,-0.010071882058024593,0.00014713152699466104,-0.0006036101564757296,0.0,0.00800322455715149,-0.004087413903414681,0.01142811524940839,-0.009096318581152169,0.0,-0.0022264633550826084,0.0,0.0019426835293343719,0.0020042815091716585,0.004707935575797894,-0.03152205852766706,-0.0,-0.006573803001780557,-0.0019733503099943436,-0.0008420236567077392,0.0,-0.0027783029400351117,0.0,-0.0010258260142456883,0.013373631971576677,-0.0
3,0.001,0.9,0.0,-0.0059697364523982575,-0.005420507384887662,0.003239217483898569,0.006210552084619476,0.003535223463910914,-0.01058307081859033,-0.0067316359288247815,0.0,0.0,-0.0,0.02073871557802506,-0.012641599965674368,0.012389997551159992,-0.01465996589278391,0.0,-0.0005737436573402576,0.0,0.0011752811001264226,0.009560849867487443,0.006789068734697782,-0.029423647480286187,0.0,0.004024630889905631,-0.00045913263225144495,-0.0,0.0,-0.012846214221945174,-0.0,0.0,0.002021265785033118,-0.0058990086641274985
4,0.01,0.1,0.0,-0.004417143449406734,-0.0018167600283308834,0.008935293874188064,-0.0,0.003334714261144323,-0.011990065596850024,-0.005600613660401231,0.0,0.0,-0.0,0.0067331765103505045,-0.013529368888297998,0.011279244641898828,-0.012967502509179236,0.0,-0.0019681442805950335,0.0,0.0005582207663265296,0.007232722509439748,0.0,-0.02629320848410841,0.002272292731852639,-0.0,-0.0025647561684692386,-0.002285847110173389,-0.00012932701387630813,-0.014198157660131428,0.0,0.0,0.0028238588836192982,-0.0001766289567739803
5,0.001,0.5,-0.00044307601873768614,-0.004572572578425869,-0.0003715355567709098,0.02468113766851889,-0.0058639085080396175,0.007673215071498371,-0.03749826624231281,-0.0020167291616494166,0.0003885057048233937,0.0005072198731446327,0.006165128937546569,0.015463389583606836,-0.013351480193201586,0.008250875012315017,-0.010933171818445308,0.0007471053022353176,-0.0,0.0,0.0017982438818053051,0.0068150400472832065,0.004462219016170171,-0.03958633591890873,0.011186915357281193,-0.0037236355175508692,-0.0044372722379155995,-0.004928952125939537,-0.0,-0.010119867910040466,0.0,-0.0,-0.003202110754617049,-0.009462438480716479
6,0.001,0.5,0.0002953925079017138,-0.0,0.0009642098779387612,0.011906299662285567,-0.01061773137991482,0.0025236289186139176,-0.03040828826932206,0.001320770519191786,3.129269035921193e-05,0.0011734348604589084,0.007067431875168621,0.018083687946058667,-0.013984257216565347,0.009719633036472382,-0.010460259696940113,0.0014133417322704537,0.0,0.0,0.0,0.012491634302570975,-0.0,-0.02376803940549994,0.01434522385215153,-0.0017705461222898963,-0.003988311829310661,-0.0046256817189230725,-0.0006088234161563474,-0.009115945361101828,-0.0,-0.0,-0.0016478234810137183,-0.005963653198807862
7,0.001,0.5,-0.0,0.00030971571208677796,0.0,0.0035213793145249988,-0.005349264802922725,0.0016678842492835603,-0.022061822570795316,0.00011278084186518622,0.0012654900886283416,0.0020890392243277,0.00642679661912768,0.01948619727817577,-0.010489735332574177,0.01099636157179973,-0.011179506756276289,0.0011262554360820392,-0.0,0.0,-0.00025261579042463035,0.013628089868453652,0.005495867382280186,-0.02319120806879497,0.007536252574955202,-0.0012784032668392196,-0.003689862003099102,-0.003200344414427307,-0.0,-0.015427119853609025,0.0,0.0,-0.007065196482143602,-0.010694896318851057
8,0.01,0.1,-0.0,0.0,0.0,0.0,-0.001434135375217855,0.000852686490361654,-0.0036531038349963013,0.0,0.0,0.0013905302178894832,0.0,0.0034783663834280936,-0.006354830883983239,0.007646261998999146,-0.009291724474619468,0.0,0.000416354262308255,0.0,-0.0,0.009870498011789918,0.003957654836608563,-0.021625864328389203,0.0029994387623696024,0.0,-0.0032522437990275812,-0.0011198067457956911,0.0,-0.013324715327701792,-0.0,0.0,-0.0033829460592238567,-0.0
9,0.01,0.1,-0.0,0.0005729274010133183,4.618904283973504e-05,-0.0,-0.004664830513140887,-0.0037649636835254386,-0.004947531261987291,0.0,0.0,0.0010950721670965693,0.0008500813433470976,0.006073978819175191,-0.010447286428197604,0.005215618492957595,-0.008517243707955416,-0.0,6.157477746553432e-05,0.0,0.0,0.01239590433839292,0.004934372763944508,-0.024235188970052644,0.0017835048914736844,-0.0021306383736714287,-0.004907254490984084,-0.004003751787518503,0.0,-0.014673865366076193,-0.0004653307102214152,0.0,-0.005768650911883188,0.0
