horizon,features,n_features,model,ic_mean,ic_ir,ic_ci95_low,ic_ci95_high,spread_q5_q1,hit_rate_top25,n_folds
3,full,32,axiomatic,0.13412745816385283,0.42537019953517696,0.07679947749489228,0.19180645248660386,0.0028260924277573826,0.5367403483549905,10
3,full,32,benchmark,0.07815198195783803,0.32115652124603755,0.03388868288865107,0.12352255060583898,0.0030401156010549683,0.528786900140048,10
3,full,32,elastic,0.1257842369349791,0.42832829979892967,0.07358849993720319,0.17778059300293067,-0.0018157626555143508,0.524626816101327,10
3,full,32,lgbm,0.029273199006407864,0.12012190447938827,-0.01398576517154638,0.0742511602686534,-0.00582727975037788,0.48681632684957243,10
3,reduced,5,axiomatic,0.13412745816385283,0.42537019953517696,0.07679947749489228,0.19180645248660386,0.0028260924277573826,0.5367403483549905,10
3,reduced,5,benchmark,0.07815198195783803,0.32115652124603755,0.03388868288865107,0.12352255060583898,0.0030401156010549683,0.528786900140048,10
3,reduced,5,elastic,0.11560244839861505,0.3395755400542649,0.05486625262843645,0.17695878548598287,-0.0004749113470544635,0.5112575026152008,10
3,reduced,5,lgbm,0.07240253321659858,0.3718443242470861,0.03783020991254761,0.10779982790986388,0.002236043672682629,0.5283326807341133,10
6,full,32,axiomatic,0.169719015914228,0.549912009633993,0.11426715320081952,0.224590347800316,0.001955997592618247,0.5476702098552202,10
6,full,32,benchmark,0.10414795609625761,0.4404297158685066,0.06179183810605215,0.14563470763337688,0.0028557676871487953,0.5470646258766169,10
6,full,32,elastic,0.21152420729493865,0.779814215518823,0.16202733375570172,0.25797895769371776,-0.00164371803276929,0.5516481783414151,10
6,full,32,lgbm,0.12420470760832351,0.4996291625455589,0.07823897918766971,0.1676297382769562,-0.005304401815653964,0.5270905883250264,10
6,reduced,5,axiomatic,0.169719015914228,0.549912009633993,0.11426715320081952,0.224590347800316,0.001955997592618247,0.5476702098552202,10
6,reduced,5,benchmark,0.10414795609625761,0.4404297158685066,0.06179183810605215,0.14563470763337688,0.0028557676871487953,0.5470646258766169,10
6,reduced,5,elastic,0.15625013790874018,0.4651404976454039,0.0965224881019996,0.21483487879272226,-0.005111133350315994,0.5312423929609117,10
6,reduced,5,lgbm,0.11211528269646172,0.5498805042021024,0.07532347694414009,0.14663303517810147,-0.001962210692683473,0.5172649002593217,10
12,full,32,axiomatic,0.1525034631657406,0.5068304305634471,0.0931717518049084,0.20758924048773947,-0.010274634313841298,0.5336268907307216,9
12,full,32,benchmark,0.11726106626022972,0.5033287530416104,0.0716148809380658,0.16008041052746563,0.004517318585456563,0.5577774394449068,9
12,full,32,elastic,0.18976235586650442,0.8535694008436844,0.14706203238595575,0.23246599627482678,-0.01299694761013801,0.5352712132309537,9
12,full,32,lgbm,0.14969756007791218,0.5899401276668101,0.09969113176139743,0.19857595852413112,-0.016377055093087494,0.548039989227929,9
12,reduced,5,axiomatic,0.1525034631657406,0.5068304305634471,0.0931717518049084,0.20758924048773947,-0.010274634313841298,0.5336268907307216,9
12,reduced,5,benchmark,0.11726106626022972,0.5033287530416104,0.0716148809380658,0.16008041052746563,0.004517318585456563,0.5577774394449068,9
12,reduced,5,elastic,0.14489176567031095,0.4389939258582316,0.08096780467188873,0.20579689744865734,-0.022151285032848685,0.518422282767448,9
12,reduced,5,lgbm,0.12958169575020193,0.5700787656673522,0.08742559539489213,0.17262189160525582,-0.012335957824143448,0.4993031709019491,9
